ville,date,temp,humidity,weather,is_rainy
Antananarivo,2025-06-29 21:00:00,12.98,94,Clouds,0
Antananarivo,2025-06-30 00:00:00,11.49,95,Clouds,0
Antananarivo,2025-06-30 03:00:00,8.89,95,Clear,0
Antananarivo,2025-06-30 06:00:00,15.21,41,Clear,0
Antananarivo,2025-06-30 09:00:00,22.03,29,Clear,0
Antananarivo,2025-06-30 12:00:00,21.44,46,Clear,0
Antananarivo,2025-06-30 15:00:00,14.87,76,Clear,0
Antananarivo,2025-06-30 18:00:00,13.91,82,Clouds,0
Antananarivo,2025-06-30 21:00:00,13.64,84,Clouds,0
Antananarivo,2025-07-01 00:00:00,13.35,84,Clouds,0
Antananarivo,2025-07-01 03:00:00,12.15,88,Clouds,0
Antananarivo,2025-07-01 06:00:00,16.02,66,Clouds,0
Antananarivo,2025-07-01 09:00:00,19.44,48,Clouds,0
Antananarivo,2025-07-01 12:00:00,19.22,50,Clear,0
Antananarivo,2025-07-01 15:00:00,13.26,82,Clear,0
Antananarivo,2025-07-01 18:00:00,12.36,83,Clouds,0
Antananarivo,2025-07-01 21:00:00,11.28,87,Clouds,0
Antananarivo,2025-07-02 00:00:00,12.46,86,Clouds,0
Antananarivo,2025-07-02 03:00:00,13.28,90,Rain,1
Antananarivo,2025-07-02 06:00:00,12.28,91,Rain,1
Antananarivo,2025-07-02 09:00:00,12.61,80,Clouds,0
Antananarivo,2025-07-02 12:00:00,16.06,56,Clouds,0
Antananarivo,2025-07-02 15:00:00,11.67,73,Clouds,0
Antananarivo,2025-07-02 18:00:00,11.87,70,Clouds,0
Antananarivo,2025-07-02 21:00:00,11.01,73,Clouds,0
Antananarivo,2025-07-03 00:00:00,9.27,88,Clouds,0
Antananarivo,2025-07-03 03:00:00,8.5,89,Clouds,0
Antananarivo,2025-07-03 06:00:00,12.72,69,Clouds,0
Antananarivo,2025-07-03 09:00:00,17.98,48,Clear,0
Antananarivo,2025-07-03 12:00:00,17.51,51,Clear,0
Antananarivo,2025-07-03 15:00:00,10.96,81,Clear,0
Antananarivo,2025-07-03 18:00:00,9.25,93,Clear,0
Antananarivo,2025-07-03 21:00:00,7.74,92,Clouds,0
Antananarivo,2025-07-04 00:00:00,11.9,71,Clouds,0
Antananarivo,2025-07-04 03:00:00,8.37,94,Clouds,0
Antananarivo,2025-07-04 06:00:00,13.78,66,Clouds,0
Antananarivo,2025-07-04 09:00:00,17.65,46,Clouds,0
Antananarivo,2025-07-04 12:00:00,17.93,46,Clouds,0
Antananarivo,2025-07-04 15:00:00,11.81,79,Clouds,0
Antananarivo,2025-07-04 18:00:00,9.14,96,Clouds,0
Paris,2025-06-29 21:00:00,26.89,56,Clear,0
Paris,2025-06-30 00:00:00,25.8,58,Clear,0
Paris,2025-06-30 03:00:00,23.06,67,Clear,0
Paris,2025-06-30 06:00:00,23.28,65,Clear,0
Paris,2025-06-30 09:00:00,27.48,41,Clear,0
Paris,2025-06-30 12:00:00,31.67,26,Clear,0
Paris,2025-06-30 15:00:00,36.74,19,Clear,0
Paris,2025-06-30 18:00:00,35.57,19,Clear,0
Paris,2025-06-30 21:00:00,30.79,27,Clear,0
Paris,2025-07-01 00:00:00,27.57,45,Clear,0
