ville,date,temp,humidity,weather,is_rainy
Antananarivo,2025-07-05 15:00:00,16.12,74,Clouds,0
Antananarivo,2025-07-05 18:00:00,12.53,87,Clouds,0
Antananarivo,2025-07-05 21:00:00,11.1,84,Clouds,0
Antananarivo,2025-07-06 00:00:00,9.9,85,Clouds,0
Antananarivo,2025-07-06 03:00:00,7.44,92,Clouds,0
Antananarivo,2025-07-06 06:00:00,15.61,48,Clear,0
Antananarivo,2025-07-06 09:00:00,20.57,45,Clouds,0
Antananarivo,2025-07-06 12:00:00,15.91,64,Clouds,0
Antananarivo,2025-07-06 15:00:00,13.28,78,Clouds,0
Antananarivo,2025-07-06 18:00:00,12.93,84,Clouds,0
Antananarivo,2025-07-06 21:00:00,10.9,95,Clouds,0
Antananarivo,2025-07-07 00:00:00,12.36,92,Clouds,0
Antananarivo,2025-07-07 03:00:00,12.56,92,Rain,1
Antananarivo,2025-07-07 06:00:00,15.58,68,Clouds,0
Antananarivo,2025-07-07 09:00:00,21.11,41,Clear,0
Antananarivo,2025-07-07 12:00:00,21.59,39,Clear,0
Antananarivo,2025-07-07 15:00:00,14.18,78,Clouds,0
Antananarivo,2025-07-07 18:00:00,12.77,88,Clouds,0
Antananarivo,2025-07-07 21:00:00,11.71,93,Clouds,0
Antananarivo,2025-07-08 00:00:00,9.55,96,Clouds,0
Antananarivo,2025-07-08 03:00:00,8.6,92,Clear,0
Antananarivo,2025-07-08 06:00:00,16.65,43,Clear,0
Antananarivo,2025-07-08 09:00:00,21.26,30,Clear,0
Antananarivo,2025-07-08 12:00:00,20.36,40,Clear,0
Antananarivo,2025-07-08 15:00:00,13.62,81,Clear,0
Antananarivo,2025-07-08 18:00:00,11.08,95,Clear,0
Antananarivo,2025-07-08 21:00:00,11.96,83,Clouds,0
Antananarivo,2025-07-09 00:00:00,11.55,83,Clouds,0
Antananarivo,2025-07-09 03:00:00,11.46,85,Clouds,0
Antananarivo,2025-07-09 06:00:00,14.52,70,Clouds,0
Antananarivo,2025-07-09 09:00:00,19.99,49,Clouds,0
Antananarivo,2025-07-09 12:00:00,18.92,54,Clouds,0
Antananarivo,2025-07-09 15:00:00,13.66,80,Clouds,0
Antananarivo,2025-07-09 18:00:00,12.01,88,Clouds,0
Antananarivo,2025-07-09 21:00:00,11.62,89,Clouds,0
Antananarivo,2025-07-10 00:00:00,12.05,86,Clouds,0
Antananarivo,2025-07-10 03:00:00,11.04,93,Clouds,0
Antananarivo,2025-07-10 06:00:00,14.37,80,Clouds,0
Antananarivo,2025-07-10 09:00:00,13.43,89,Rain,1
Antananarivo,2025-07-10 12:00:00,17.49,64,Clouds,0
Paris,2025-07-05 15:00:00,27.37,25,Clouds,0
Paris,2025-07-05 18:00:00,23.38,37,Clouds,0
Paris,2025-07-05 21:00:00,17.74,49,Clouds,0
Paris,2025-07-06 00:00:00,17.82,55,Clouds,0
Paris,2025-07-06 03:00:00,15.23,60,Clouds,0
Paris,2025-07-06 06:00:00,16.42,58,Clouds,0
Paris,2025-07-06 09:00:00,14.4,93,Rain,1
Paris,2025-07-06 12:00:00,16.14,94,Rain,1
Paris,2025-07-06 15:00:00,19.25,86,Rain,1
Paris,2025-07-06 18:00:00,19.44,77,Rain,1
Paris,2025-07-06 21:00:00,17.27,70,Rain,1
Paris,2025-07-07 00:00:00,16.96,67,Clouds,0
Paris,2025-07-07 03:00:00,16.49,68,Clouds,0
Paris,2025-07-07 06:00:00,15.57,76,Rain,1
Paris,2025-07-07 09:00:00,14.01,95,Rain,1
Paris,2025-07-07 12:00:00,18.67,72,Rain,1
Paris,2025-07-07 15:00:00,16.39,81,Rain,1
Paris,2025-07-07 18:00:00,19.4,45,Rain,1
Paris,2025-07-07 21:00:00,16.41,55,Clouds,0
Paris,2025-07-08 00:00:00,15.95,58,Clouds,0
Paris,2025-07-08 03:00:00,15.27,66,Clouds,0
Paris,2025-07-08 06:00:00,14.72,76,Rain,1
Paris,2025-07-08 09:00:00,19.16,48,Clouds,0
Paris,2025-07-08 12:00:00,20.88,36,Clouds,0
Paris,2025-07-08 15:00:00,23.36,27,Clear,0
Paris,2025-07-08 18:00:00,22.68,33,Clouds,0
Paris,2025-07-08 21:00:00,18.35,55,Clouds,0
Paris,2025-07-09 00:00:00,16.53,64,Clouds,0
Paris,2025-07-09 03:00:00,14.95,69,Clear,0
Paris,2025-07-09 06:00:00,15.9,61,Clear,0
Paris,2025-07-09 09:00:00,21.26,37,Clear,0
Paris,2025-07-09 12:00:00,25.52,28,Clear,0
Paris,2025-07-09 15:00:00,26.4,26,Clear,0
Paris,2025-07-09 18:00:00,25.76,30,Clear,0
Paris,2025-07-09 21:00:00,21.85,43,Clear,0
Paris,2025-07-10 00:00:00,19.31,50,Clear,0
Paris,2025-07-10 03:00:00,17.5,54,Clear,0
