date,jour,mois,annee,ville,temp,is_rainy
2020-07-05,5,7,2020,Antananarivo,14.0,0
2020-07-06,6,7,2020,Antananarivo,14.8,0
2020-07-07,7,7,2020,Antananarivo,15.7,0
2020-07-08,8,7,2020,Antananarivo,16.0,0
2020-07-09,9,7,2020,Antananarivo,14.2,0
2020-07-10,10,7,2020,Antananarivo,13.5,1
2020-07-11,11,7,2020,Antananarivo,14.8,1
2020-07-12,12,7,2020,Antananarivo,14.6,1
2020-07-13,13,7,2020,Antananarivo,15.5,0
2020-07-14,14,7,2020,Antananarivo,14.7,0
2020-07-15,15,7,2020,Antananarivo,14.6,0
2020-07-16,16,7,2020,Antananarivo,14.1,1
2020-07-17,17,7,2020,Antananarivo,12.8,0
2020-07-18,18,7,2020,Antananarivo,12.5,0
2020-07-19,19,7,2020,Antananarivo,12.7,0
2020-07-20,20,7,2020,Antananarivo,12.1,1
2020-07-21,21,7,2020,Antananarivo,13.3,0
2020-07-22,22,7,2020,Antananarivo,12.4,0
2020-07-23,23,7,2020,Antananarivo,12.0,0
2020-07-24,24,7,2020,Antananarivo,12.7,0
2020-07-25,25,7,2020,Antananarivo,11.7,1
2020-07-26,26,7,2020,Antananarivo,11.4,1
2020-07-27,27,7,2020,Antananarivo,13.7,0
2020-07-28,28,7,2020,Antananarivo,14.6,1
2020-07-29,29,7,2020,Antananarivo,15.8,1
2020-07-30,30,7,2020,Antananarivo,17.5,0
2020-07-31,31,7,2020,Antananarivo,16.5,1
2020-08-01,1,8,2020,Antananarivo,15.2,0
2020-08-02,2,8,2020,Antananarivo,13.8,0
2020-08-03,3,8,2020,Antananarivo,12.5,0
2020-08-04,4,8,2020,Antananarivo,12.7,0
2020-08-05,5,8,2020,Antananarivo,14.2,0
2020-08-06,6,8,2020,Antananarivo,14.7,0
2020-08-07,7,8,2020,Antananarivo,16.6,0
2020-08-08,8,8,2020,Antananarivo,15.4,0
2020-08-09,9,8,2020,Antananarivo,13.2,0
2020-08-10,10,8,2020,Antananarivo,13.5,0
2020-08-11,11,8,2020,Antananarivo,14.2,0
2020-08-12,12,8,2020,Antananarivo,12.9,0
2020-08-13,13,8,2020,Antananarivo,13.4,0
2020-08-14,14,8,2020,Antananarivo,14.7,0
2020-08-15,15,8,2020,Antananarivo,14.0,0
2020-08-16,16,8,2020,Antananarivo,14.4,0
2020-08-17,17,8,2020,Antananarivo,15.5,0
2020-08-18,18,8,2020,Antananarivo,15.2,0
2020-08-19,19,8,2020,Antananarivo,15.7,0
2020-08-20,20,8,2020,Antananarivo,16.2,0
2020-08-21,21,8,2020,Antananarivo,16.2,0
2020-08-22,22,8,2020,Antananarivo,15.9,0
2020-08-23,23,8,2020,Antananarivo,14.0,0
2020-08-24,24,8,2020,Antananarivo,15.5,0
2020-08-25,25,8,2020,Antananarivo,17.5,0
2020-08-26,26,8,2020,Antananarivo,17.2,0
2020-08-27,27,8,2020,Antananarivo,18.1,0
2020-08-28,28,8,2020,Antananarivo,17.2,0
2020-08-29,29,8,2020,Antananarivo,16.6,0
2020-08-30,30,8,2020,Antananarivo,16.1,0
2020-08-31,31,8,2020,Antananarivo,15.9,1
2020-09-01,1,9,2020,Antananarivo,15.4,0
2020-09-02,2,9,2020,Antananarivo,16.4,0
2020-09-03,3,9,2020,Antananarivo,16.3,0
2020-09-04,4,9,2020,Antananarivo,14.7,0
2020-09-05,5,9,2020,Antananarivo,14.2,0
2020-09-06,6,9,2020,Antananarivo,14.1,1
2020-09-07,7,9,2020,Antananarivo,15.2,0
2020-09-08,8,9,2020,Antananarivo,16.2,1
2020-09-09,9,9,2020,Antananarivo,17.2,1
2020-09-10,10,9,2020,Antananarivo,17.0,1
2020-09-11,11,9,2020,Antananarivo,16.4,0
2020-09-12,12,9,2020,Antananarivo,17.2,0
2020-09-13,13,9,2020,Antananarivo,17.5,0
2020-09-14,14,9,2020,Antananarivo,16.1,0
2020-09-15,15,9,2020,Antananarivo,16.3,0
2020-09-16,16,9,2020,Antananarivo,17.0,0
2020-09-17,17,9,2020,Antananarivo,16.9,0
2020-09-18,18,9,2020,Antananarivo,16.4,0
2020-09-19,19,9,2020,Antananarivo,15.8,0
2020-09-20,20,9,2020,Antananarivo,15.4,0
2020-09-21,21,9,2020,Antananarivo,16.1,0
2020-09-22,22,9,2020,Antananarivo,19.2,0
2020-09-23,23,9,2020,Antananarivo,17.7,0
2020-09-24,24,9,2020,Antananarivo,17.9,0
2020-09-25,25,9,2020,Antananarivo,17.3,0
2020-09-26,26,9,2020,Antananarivo,18.1,0
2020-09-27,27,9,2020,Antananarivo,19.1,0
2020-09-28,28,9,2020,Antananarivo,19.7,0
2020-09-29,29,9,2020,Antananarivo,19.4,0
2020-09-30,30,9,2020,Antananarivo,19.9,0
2020-10-01,1,10,2020,Antananarivo,20.3,0
2020-10-02,2,10,2020,Antananarivo,22.0,1
2020-10-03,3,10,2020,Antananarivo,21.7,1
2020-10-04,4,10,2020,Antananarivo,21.4,1
2020-10-05,5,10,2020,Antananarivo,17.6,1
2020-10-06,6,10,2020,Antananarivo,17.5,1
2020-10-07,7,10,2020,Antananarivo,18.9,1
2020-10-08,8,10,2020,Antananarivo,19.9,1
2020-10-09,9,10,2020,Antananarivo,20.5,1
2020-10-10,10,10,2020,Antananarivo,21.0,1
2020-10-11,11,10,2020,Antananarivo,20.9,1
2020-10-12,12,10,2020,Antananarivo,22.1,1
2020-10-13,13,10,2020,Antananarivo,21.8,1
2020-10-14,14,10,2020,Antananarivo,21.0,1
2020-10-15,15,10,2020,Antananarivo,19.0,0
2020-10-16,16,10,2020,Antananarivo,20.1,1
2020-10-17,17,10,2020,Antananarivo,20.1,1
2020-10-18,18,10,2020,Antananarivo,18.8,1
2020-10-19,19,10,2020,Antananarivo,19.2,0
2020-10-20,20,10,2020,Antananarivo,18.9,0
2020-10-21,21,10,2020,Antananarivo,19.3,0
2020-10-22,22,10,2020,Antananarivo,18.3,0
2020-10-23,23,10,2020,Antananarivo,18.6,0
2020-10-24,24,10,2020,Antananarivo,18.9,1
2020-10-25,25,10,2020,Antananarivo,18.6,0
2020-10-26,26,10,2020,Antananarivo,19.3,1
2020-10-27,27,10,2020,Antananarivo,19.0,1
