ville,date,temp,humidity,weather
Antananarivo,2025-07-02 18:00:00,11.86,75,Clouds
Antananarivo,2025-07-02 21:00:00,11.52,74,Clouds
Antananarivo,2025-07-03 00:00:00,11.43,70,Clouds
Antananarivo,2025-07-03 03:00:00,11.35,73,Clouds
Antananarivo,2025-07-03 06:00:00,13.1,67,Clouds
Antananarivo,2025-07-03 09:00:00,17.11,53,Clouds
Antananarivo,2025-07-03 12:00:00,16.12,59,Clouds
Antananarivo,2025-07-03 15:00:00,11.46,81,Clouds
Antananarivo,2025-07-03 18:00:00,9.5,88,Clouds
Antananarivo,2025-07-03 21:00:00,11.26,71,Clouds
Antananarivo,2025-07-04 00:00:00,10.89,82,Clouds
Antananarivo,2025-07-04 03:00:00,10.94,82,Clouds
Antananarivo,2025-07-04 06:00:00,13.3,72,Clouds
Antananarivo,2025-07-04 09:00:00,13.81,72,Clouds
Antananarivo,2025-07-04 12:00:00,14.94,67,Rain
Antananarivo,2025-07-04 15:00:00,10.0,93,Clouds
Antananarivo,2025-07-04 18:00:00,9.17,92,Clouds
Antananarivo,2025-07-04 21:00:00,11.15,77,Clouds
Antananarivo,2025-07-05 00:00:00,8.93,82,Clouds
Antananarivo,2025-07-05 03:00:00,6.46,95,Clear
Antananarivo,2025-07-05 06:00:00,13.93,58,Clear
Antananarivo,2025-07-05 09:00:00,19.34,46,Clouds
Antananarivo,2025-07-05 12:00:00,18.18,51,Clouds
Antananarivo,2025-07-05 15:00:00,11.81,85,Clouds
Antananarivo,2025-07-05 18:00:00,9.88,96,Clouds
Antananarivo,2025-07-05 21:00:00,11.97,81,Clouds
Antananarivo,2025-07-06 00:00:00,11.52,77,Clouds
Antananarivo,2025-07-06 03:00:00,7.46,94,Clouds
Antananarivo,2025-07-06 06:00:00,15.59,48,Clouds
Antananarivo,2025-07-06 09:00:00,20.43,47,Clouds
Antananarivo,2025-07-06 12:00:00,17.36,66,Clouds
Antananarivo,2025-07-06 15:00:00,13.64,86,Clouds
Antananarivo,2025-07-06 18:00:00,11.95,92,Clouds
Antananarivo,2025-07-06 21:00:00,10.54,95,Clouds
Antananarivo,2025-07-07 00:00:00,10.29,95,Clouds
Antananarivo,2025-07-07 03:00:00,9.43,94,Clouds
Antananarivo,2025-07-07 06:00:00,16.37,68,Clouds
Antananarivo,2025-07-07 09:00:00,21.8,43,Clouds
Antananarivo,2025-07-07 12:00:00,22.35,40,Clouds
Antananarivo,2025-07-07 15:00:00,15.75,74,Clouds
Paris,2025-07-02 18:00:00,26.31,51,Clouds
Paris,2025-07-02 21:00:00,22.78,54,Rain
Paris,2025-07-03 00:00:00,17.68,74,Clouds
