ville,date,temp,humidity,weather
Antananarivo,2025-07-05 15:00:00,16.12,74,Clouds
Antananarivo,2025-07-05 18:00:00,12.53,87,Clouds
Antananarivo,2025-07-05 21:00:00,11.1,84,Clouds
Antananarivo,2025-07-06 00:00:00,9.9,85,Clouds
Antananarivo,2025-07-06 03:00:00,7.44,92,Clouds
Antananarivo,2025-07-06 06:00:00,15.61,48,Clear
Antananarivo,2025-07-06 09:00:00,20.57,45,Clouds
Antananarivo,2025-07-06 12:00:00,15.91,64,Clouds
Antananarivo,2025-07-06 15:00:00,13.28,78,Clouds
Antananarivo,2025-07-06 18:00:00,12.93,84,Clouds
Antananarivo,2025-07-06 21:00:00,10.9,95,Clouds
Antananarivo,2025-07-07 00:00:00,12.36,92,Clouds
Antananarivo,2025-07-07 03:00:00,12.56,92,Rain
Antananarivo,2025-07-07 06:00:00,15.58,68,Clouds
Antananarivo,2025-07-07 09:00:00,21.11,41,Clear
Antananarivo,2025-07-07 12:00:00,21.59,39,Clear
Antananarivo,2025-07-07 15:00:00,14.18,78,Clouds
Antananarivo,2025-07-07 18:00:00,12.77,88,Clouds
Antananarivo,2025-07-07 21:00:00,11.71,93,Clouds
Antananarivo,2025-07-08 00:00:00,9.55,96,Clouds
Antananarivo,2025-07-08 03:00:00,8.6,92,Clear
Antananarivo,2025-07-08 06:00:00,16.65,43,Clear
Antananarivo,2025-07-08 09:00:00,21.26,30,Clear
Antananarivo,2025-07-08 12:00:00,20.36,40,Clear
Antananarivo,2025-07-08 15:00:00,13.62,81,Clear
Antananarivo,2025-07-08 18:00:00,11.08,95,Clear
Antananarivo,2025-07-08 21:00:00,11.96,83,Clouds
Antananarivo,2025-07-09 00:00:00,11.55,83,Clouds
Antananarivo,2025-07-09 03:00:00,11.46,85,Clouds
Antananarivo,2025-07-09 06:00:00,14.52,70,Clouds
Antananarivo,2025-07-09 09:00:00,19.99,49,Clouds
Antananarivo,2025-07-09 12:00:00,18.92,54,Clouds
Antananarivo,2025-07-09 15:00:00,13.66,80,Clouds
Antananarivo,2025-07-09 18:00:00,12.01,88,Clouds
Antananarivo,2025-07-09 21:00:00,11.62,89,Clouds
Antananarivo,2025-07-10 00:00:00,12.05,86,Clouds
Antananarivo,2025-07-10 03:00:00,11.04,93,Clouds
Antananarivo,2025-07-10 06:00:00,14.37,80,Clouds
Antananarivo,2025-07-10 09:00:00,13.43,89,Rain
Antananarivo,2025-07-10 12:00:00,17.49,64,Clouds
Paris,2025-07-05 15:00:00,27.59,27,Clouds
Paris,2025-07-05 18:00:00,24.79,33,Clouds
Paris,2025-07-05 21:00:00,18.07,57,Clouds
Paris,2025-07-06 00:00:00,17.82,56,Clouds
Paris,2025-07-06 03:00:00,18.74,64,Clouds
Paris,2025-07-06 06:00:00,18.41,60,Clouds
Paris,2025-07-06 09:00:00,17.75,72,Rain
Paris,2025-07-06 12:00:00,14.6,96,Rain
Paris,2025-07-06 15:00:00,19.44,81,Rain
Paris,2025-07-06 18:00:00,18.82,84,Rain
Paris,2025-07-06 21:00:00,16.3,81,Rain
Paris,2025-07-07 00:00:00,15.8,80,Clouds
Paris,2025-07-07 03:00:00,15.81,72,Clouds
Paris,2025-07-07 06:00:00,15.48,79,Rain
Paris,2025-07-07 09:00:00,15.56,89,Rain
Paris,2025-07-07 12:00:00,14.71,92,Rain
Paris,2025-07-07 15:00:00,16.31,75,Rain
Paris,2025-07-07 18:00:00,16.02,68,Clouds
Paris,2025-07-07 21:00:00,15.47,63,Clouds
Paris,2025-07-08 00:00:00,14.46,68,Clouds
Paris,2025-07-08 03:00:00,13.98,80,Clouds
Paris,2025-07-08 06:00:00,15.03,75,Clouds
Paris,2025-07-08 09:00:00,16.83,69,Rain
Paris,2025-07-08 12:00:00,21.39,34,Rain
Paris,2025-07-08 15:00:00,22.83,33,Clear
Paris,2025-07-08 18:00:00,20.77,44,Clear
Paris,2025-07-08 21:00:00,17.85,56,Clear
Paris,2025-07-09 00:00:00,15.89,59,Clouds
Paris,2025-07-09 03:00:00,14.56,66,Clouds
Paris,2025-07-09 06:00:00,15.78,64,Clouds
Paris,2025-07-09 09:00:00,21.05,42,Clear
Paris,2025-07-09 12:00:00,24.89,32,Clear
Paris,2025-07-09 15:00:00,26.76,28,Clear
Paris,2025-07-09 18:00:00,25.91,32,Clear
Paris,2025-07-09 21:00:00,21.68,44,Clear
Paris,2025-07-10 00:00:00,18.81,40,Clear
Paris,2025-07-10 03:00:00,16.57,46,Clear
Paris,2025-07-10 06:00:00,16.81,45,Clear
Paris,2025-07-10 09:00:00,22.56,30,Clear
Paris,2025-07-10 12:00:00,26.77,27,Clear
Tokyo,2025-07-05 15:00:00,29.16,73,Rain
Tokyo,2025-07-05 18:00:00,28.25,74,Rain
Tokyo,2025-07-05 21:00:00,27.76,74,Clouds
Tokyo,2025-07-06 00:00:00,30.13,60,Clouds
Tokyo,2025-07-06 03:00:00,33.16,47,Clouds
Tokyo,2025-07-06 06:00:00,33.56,45,Clouds
Tokyo,2025-07-06 09:00:00,31.94,51,Clouds
Tokyo,2025-07-06 12:00:00,29.66,62,Clouds
Tokyo,2025-07-06 15:00:00,28.74,66,Clouds
Tokyo,2025-07-06 18:00:00,28.11,69,Clouds
Tokyo,2025-07-06 21:00:00,27.85,69,Clouds
Tokyo,2025-07-07 00:00:00,30.32,55,Clouds
Tokyo,2025-07-07 03:00:00,33.51,43,Clouds
Tokyo,2025-07-07 06:00:00,33.77,45,Clouds
Tokyo,2025-07-07 09:00:00,31.47,54,Clouds
Tokyo,2025-07-07 12:00:00,28.92,63,Clouds
Tokyo,2025-07-07 15:00:00,28.02,66,Clear
Tokyo,2025-07-07 18:00:00,27.06,70,Clear
Tokyo,2025-07-07 21:00:00,27.31,68,Clear
Tokyo,2025-07-08 00:00:00,29.53,60,Clear
Tokyo,2025-07-08 03:00:00,32.32,50,Clouds
Tokyo,2025-07-08 06:00:00,32.11,50,Clouds
Tokyo,2025-07-08 09:00:00,30.61,56,Clouds
Tokyo,2025-07-08 12:00:00,28.24,65,Clouds
Tokyo,2025-07-08 15:00:00,27.48,69,Clouds
Tokyo,2025-07-08 18:00:00,26.88,73,Clouds
Tokyo,2025-07-08 21:00:00,26.8,76,Clear
Tokyo,2025-07-09 00:00:00,29.51,63,Clear
Tokyo,2025-07-09 03:00:00,32.36,50,Clear
Tokyo,2025-07-09 06:00:00,33.05,48,Clear
Tokyo,2025-07-09 09:00:00,30.22,60,Clear
Tokyo,2025-07-09 12:00:00,28.04,70,Clear
Tokyo,2025-07-09 15:00:00,27.05,74,Clear
Tokyo,2025-07-09 18:00:00,26.49,78,Clear
Tokyo,2025-07-09 21:00:00,26.51,78,Clear
Tokyo,2025-07-10 00:00:00,29.19,62,Clouds
Tokyo,2025-07-10 03:00:00,31.83,51,Clouds
Tokyo,2025-07-10 06:00:00,32.52,47,Clouds
Tokyo,2025-07-10 09:00:00,30.86,55,Clouds
Tokyo,2025-07-10 12:00:00,28.5,65,Clouds
London,2025-07-05 15:00:00,19.63,78,Clouds
London,2025-07-05 18:00:00,18.84,81,Clouds
London,2025-07-05 21:00:00,19.88,73,Clouds
London,2025-07-06 00:00:00,17.13,81,Clouds
London,2025-07-06 03:00:00,15.34,85,Clouds
London,2025-07-06 06:00:00,15.95,82,Clouds
London,2025-07-06 09:00:00,16.71,81,Rain
London,2025-07-06 12:00:00,17.72,81,Rain
London,2025-07-06 15:00:00,20.15,59,Rain
London,2025-07-06 18:00:00,20.14,49,Clouds
London,2025-07-06 21:00:00,17.92,62,Clouds
London,2025-07-07 00:00:00,16.13,72,Rain
London,2025-07-07 03:00:00,13.79,79,Rain
London,2025-07-07 06:00:00,13.59,87,Rain
London,2025-07-07 09:00:00,15.67,62,Rain
London,2025-07-07 12:00:00,21.22,31,Clouds
London,2025-07-07 15:00:00,23.83,24,Clouds
London,2025-07-07 18:00:00,20.88,37,Clouds
London,2025-07-07 21:00:00,17.97,47,Clear
London,2025-07-08 00:00:00,15.51,56,Clear
London,2025-07-08 03:00:00,12.81,83,Rain
London,2025-07-08 06:00:00,13.01,70,Clouds
London,2025-07-08 09:00:00,17.9,46,Clouds
London,2025-07-08 12:00:00,21.91,29,Clear
London,2025-07-08 15:00:00,24.23,22,Clear
London,2025-07-08 18:00:00,24.03,25,Clear
London,2025-07-08 21:00:00,19.43,44,Clouds
London,2025-07-09 00:00:00,17.63,55,Clouds
London,2025-07-09 03:00:00,15.75,65,Clouds
London,2025-07-09 06:00:00,16.61,61,Clouds
London,2025-07-09 09:00:00,21.45,28,Clouds
London,2025-07-09 12:00:00,25.39,19,Clouds
London,2025-07-09 15:00:00,27.42,25,Clear
London,2025-07-09 18:00:00,25.41,39,Clouds
London,2025-07-09 21:00:00,22.7,42,Clouds
London,2025-07-10 00:00:00,20.41,43,Clouds
