ville,day,temp_moyenne,jour_pluvieux
Antananarivo,2025-07-03,14.25,0
Antananarivo,2025-07-04,12.9175,1
Antananarivo,2025-07-05,12.47,0
Antananarivo,2025-07-06,14.43,1
Antananarivo,2025-07-07,15.05625,0
Antananarivo,2025-07-08,17.272,0
London,2025-07-03,22.314999999999998,0
London,2025-07-04,20.5025,0
London,2025-07-05,16.555,1
London,2025-07-06,17.97375,1
London,2025-07-07,15.34,1
London,2025-07-08,15.504999999999999,0
Paris,2025-07-03,23.186666666666667,0
Paris,2025-07-04,23.3625,0
Paris,2025-07-05,23.70625,0
Paris,2025-07-06,19.895,1
Paris,2025-07-07,18.56875,1
Paris,2025-07-08,18.222,0
Tokyo,2025-07-03,26.439999999999998,0
Tokyo,2025-07-04,28.58625,0
Tokyo,2025-07-05,28.5575,1
Tokyo,2025-07-06,30.091250000000002,0
Tokyo,2025-07-07,29.77625,0
Tokyo,2025-07-08,30.810000000000002,0
