ville,day,temp,humidity,is_rainy
Antananarivo,2025-07-05,13.25,81.66666666666667,0
Antananarivo,2025-07-06,13.317499999999999,73.875,0
Antananarivo,2025-07-07,15.2325,73.875,1
Antananarivo,2025-07-08,14.135,70.0,0
Antananarivo,2025-07-09,14.21625,74.75,0
Antananarivo,2025-07-10,13.675999999999998,82.4,1
London,2025-07-05,19.69333333333333,77.33333333333333,1
London,2025-07-06,18.96375,67.5,1
London,2025-07-07,17.4175,54.75,1
London,2025-07-08,18.7175,48.5,0
London,2025-07-09,21.52,38.125,0
London,2025-07-10,22.678,44.4,0
Paris,2025-07-05,22.83,37.0,0
Paris,2025-07-06,16.99625,74.125,1
Paris,2025-07-07,16.7375,69.875,1
Paris,2025-07-08,18.79625,49.875,1
Paris,2025-07-09,21.021250000000002,44.75,0
Paris,2025-07-10,21.384,42.2,0
Tokyo,2025-07-05,28.060000000000002,75.0,1
Tokyo,2025-07-06,30.39375,58.625,0
Tokyo,2025-07-07,30.0475,58.0,0
Tokyo,2025-07-08,29.24625,62.375,0
Tokyo,2025-07-09,29.15375,65.125,0
Tokyo,2025-07-10,30.580000000000002,56.0,0
